1,BEBFBCABEFABCECBCAFCBCBGFBCFCFACEFBCGFBAFECEBFBCBCECBCBGFCGFBCBGFCEFBGFECFBCFCFCACFAGFACBGBFGEFBCACF
2,FDGBCFBCACBAEAFBCAFBFCFCECBABCBCFBCFEFABCBCFCAFAFACAEFBCBFBAFCFABCFECFECFBCFABCFACBCECAFEFACAFBC
3,CBECEFAGBCBGCBECBFBCBCECFBFCFCACBFCFCBFBABFBCBCFEAFCBABCECBFBFABGBCFABFCBCBEFBFABCFBCACFCFBAFBABAFB
4,CFBCFBGBCGBAFBCGCBFCFCFBCACBCFCBFBECFCEBCBAFACBCBCBFCBACBCFBCFCACFBADCFCBFCFGCBFCBACFBFBFCFBFCBFCACFAFBCFACBAF
5,GFECFCFCGCBFBCFCBFBFEBFBCBCDCBFCBFCABCBCFAEACBCFBECACFABCFBCABFCBCBCBFCBCFBFCEBAFGFBFCBCBCFECE
6,ECBCFCFBCFBGFBFDFCBFBFCBACBCBFBCFBCBFCBCBFABFCACFCAFBCBCFAFGCFCFBCABCBFABFBCBCFCBFAFCFCBFBGCBCFCEFBCBCBCFBF
7,FCFBFAGFBFAFBCBACFBACFBFCBFABCFACFBAFCABFCFCFBEFCBCFCBACBCAFCFBCAFACFBFCBCBFCFBCBCEAFBACBFBGCBCBCFGFCB
8,CBCBCECACGCACFBCFCFCGBACFBGBACAFBCFCEFCBAEFBCBFBCECBABCAFABCAFCBECFCFBCFBECFBGFBACAEACFBFBF
9,FCBCACBFCFAFBCECFCEBACBFCBCBCFABAFCBFBFCFDBAEFCEACFBCBGCFBCFBABABFCBAEBCGBCBCFCGFCBCACGBFBCBAFCFBCGCACAGAFEFEF
10,FBCFDCACBFDCACBCBCFCEBCBFCFAFABCBFBACFCBGFBFBCBFBFBFBCABACBCACFCFCBCFCFBFGFBFBCFBCACACBFCBECBAC
